Plant,Date,SC2_N_gc_g_dry_weight,PMMoV_gc_g_dry_weight,Population_Served,County,zipcode,pcr_gene_target,index,SC2_N_norm_PMMoV,City,County_FIPS
OCSD_P1,2021-09-22,196795.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-24,119035.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-27,806526.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-09-29,235051.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-01,424439.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-04,276056.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-06,745120.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-08,-1.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-11,-1.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-13,268584.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-15,139453.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-18,220754.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-20,632617.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-22,473446.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-25,108357.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-27,304142.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-10-29,268162.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-11-01,1427479.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-11-03,201151.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-11-05,383629.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-11-08,308196.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-11-10,307887.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-11-12,447026.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-11-15,523126.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-11-17,449375.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-11-19,398242.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-11-22,419462.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
