Date,total_tests,cases,pos_rate,SC2_N_gc_g_dry_weight,PMMoV_gc_g_dry_weight,SC2_N_norm_PMMoV,County
2023-02-04,699.0,60.0,0.08583690987124463,238598.8,851000000.0,0.0002803746180963572,San Mateo
2023-02-05,578.0,59.0,0.10207612456747404,848635.268,1450000000.0,0.0005852657020689655,San Mateo
2023-02-06,1735.0,115.0,0.06628242074927954,169551.466,1080000000.0,0.00015699209814814814,San Mateo
2023-02-07,1499.0,107.0,0.0713809206137425,664814.496,1060000000.0,0.0006271834867924528,San Mateo
2023-02-08,1324.0,81.0,0.06117824773413897,159194.476,1020000000.0,0.0001560730156862745,San Mateo
2023-02-09,1408.0,95.0,0.06747159090909091,170063.542,821000000.0,0.00020714195127892812,San Mateo
2023-02-10,1303.0,90.0,0.06907137375287797,177167.342,1430000000.0,0.00012389324615384617,San Mateo
2023-02-11,615.0,53.0,0.08617886178861789,364137.931,1540000000.0,0.00023645320194805194,San Mateo
2023-02-12,486.0,53.0,0.10905349794238683,176876.951,1260000000.0,0.00014037853253968255,San Mateo
2023-02-13,1872.0,123.0,0.06570512820512821,203838.984,1050000000.0,0.00019413236571428572,San Mateo
2023-02-14,1527.0,71.0,0.04649639816633923,152495.973,1260000000.0,0.00012102855,San Mateo
2023-02-15,1269.0,110.0,0.08668242710795902,335976.982,1480000000.0,0.00022701147432432434,San Mateo
2023-02-16,1560.0,87.0,0.05576923076923077,245018.441,1920000000.0,0.00012761377135416666,San Mateo
2023-02-17,1164.0,84.0,0.07216494845360824,533333.333,1690000000.0,0.00031558185384615383,San Mateo
2023-02-18,744.0,55.0,0.0739247311827957,1214143.95,802000000.0,0.0015138951995012468,San Mateo
2023-02-19,477.0,61.0,0.1278825995807128,1387731.049405795,1132182617.04348,0.0012257130859592601,San Mateo
2023-02-20,1067.0,51.0,0.04779756326148079,206341.772684685,1071747255.35135,0.00019252838918354886,San Mateo
2023-02-21,1590.0,91.0,0.057232704402515724,266762.46064042,1775653092.28346,0.00015023343343342362,San Mateo
2023-02-22,1193.0,106.0,0.08885163453478626,589401.399272727,1025944668.01347,0.0005744962839116665,San Mateo
2023-02-23,1198.0,81.0,0.0676126878130217,236014.684066667,915233358.0,0.0002578737783142155,San Mateo
2023-02-24,1083.0,72.0,0.0664819944598338,116464.587801418,509449713.929078,0.00022860860378779482,San Mateo
2023-02-25,750.0,55.0,0.07333333333333333,616029.91744,3322023763.2,0.00018543814293688193,San Mateo
